"tanyarl ternyata dunkin sampe buat donat israHELL tetap semangat boikot produk yang mendukung israHELL! https://t.co/FH68VSdAYN",positif
"STARBUCK DIGANTI NAMA VISTA COFFEE PIZZA HUNT DIGANTI NAMA JADI RISTORANTE TETAP BOIKOT PRODUK PRO ZIONIS ISRAIHELL https://t.co/cglUpp2zYQ",positif
"Padahal lebih banyak cara untuk ajakan boikot yang lebih simpatik dan tidak mengganggu privacy orang lain. Konsumen produk yg mungkin diboikot adalah berhak apa dia bayar tidak sepantasnya kita menyerangnya krn perbedaan prinsip ttg Palestina. https://t.co/D6ZA3LgOEf https://t.co/D25yi8ihVi",netral
"Masih semangat Boikot produk Zionis dan yang terafiliasi.. salah satu cara keberpihakan kita sama penderitaan dan.perjuangan saudara kita di Palestina https://t.co/Fb6ELKvhme",positif
"ternyata udah ada fatwa MUI ya soal boikot produk. utk skincare make up dan body-hair-personal care sih gak repot krn udah setahun hijrah pake oriflame. yg agak peer nih makanan https://t.co/04rJYHoRCq",netral
"Calon wapres pemilu kita yg 8 bulan lagi kemungkinan besar dilantik. Beliau Makai botol plastik dan produk boikot https://t.co/OpXKChOJgk",negatif
"Ayo teruskan boikot produk Zionis demi keadilan dan perdamaian #TerusBoikotIsrael https://t.co/WO5gAb5AuC",positif
"Segala bentuk penjajahan di atas muka bumi harus dihapuskan termaktub dalam pembukaan UUD 1945. Maka menentang penjajahan zionis di tanah palestina menjadi kewajiban kita semua dengan cara dan bentuk apapun yg kita bisa. Salah satunya dengan perjuangan boikot brand/produk https://t.co/YoGL0z3Us5",positif
"tanyarl astaghfirullah israHELL buat mainan bayi kaya gini israHELL BIADAB tetap semangat boikot produk israHELL!!!!! https://t.co/tXLKIUGrqo",positif
"Aksi para pendukung palestina di Makasar Mereka menyambangi sebuah gerai kopi di jln AP Pettarani Makassar dan mengajak para pengunjung melakukan boikot produk yg terafiliasi isra El Jumat 06.06.24 https://t.co/iiMyCaPyau",positif
"Tetap boikot produk yang terafiliasi dengan teroris haram jadah zionis Israel. Dimulai dari saya dulu. #FreePalestine #StopGazaGenocide‌ sabrina Plaza Indonesia Asian Value Total Politik Tubruk Pandji Muhammadiyah. https://t.co/AV9WorAmjz",positif
